Valeur debitee;Type;Date
-6.43;krivirv;18/05/2008
155.33;zriiulizpvirl;19/02/2005
-47.64;opbivpvirl;29/03/2002
-101.91;opbivpvirl;13/05/2003
117.90;opbivpvirl;14/12/2002
-68.11;uepkpzeielvv;30/10/2004
-162.51;uepkpzeielvv;20/08/2007
-83.58;uepkpzeielvv;21/04/2006
-122.07;opbivpvirl;11/01/2006
-73.26;krivirv;15/06/2001
170.09;krivirv;02/10/2001
110.47;uepkpzeielvv;04/04/2009
-181.56;krivirv;11/05/2003
112.21;vrpvpik;25/09/2005
110.53;vrpvpik;14/03/2004
169.33;vrpvpik;22/11/2003
149.18;vrpvpik;09/12/2004
-122.58;vrpvpik;15/04/2004
-126.95;vrpvpik;19/09/2006
151.16;vrpvpik;11/03/2006
-60.68;vrpvpik;03/02/2006
21.29;vrpvpik;04/10/2006
86.94;krivirv;03/05/2011
28.29;vplve;05/09/2009
-151.09;krivirv;02/12/2008
-29.28;pkiielvpvirl;21/01/2005
-123.83;opbivpvirl;02/09/2004
141.07;opbivpvirl;24/08/2009
8.74;pkiielvpvirl;06/10/2003
-142.32;krivirv;28/07/2004
6.04;krivirv;02/07/2009
-8.18;uepkpzeielvv;30/08/2006
-156.31;krivirv;14/06/2010
78.67;opbivpvirl;13/04/2009
121.13;uepkpzeielvv;25/11/2000
97.64;uepkpzeielvv;12/09/2000
-3.85;krivirv;24/08/2005
-49.11;krivirv;17/10/2007
-126.31;opbivpvirl;09/09/2010
-91.88;opbivpvirl;12/09/2010
12.87;uepkpzeielvv;02/08/2006
109.56;uepkpzeielvv;08/07/2005
-14.66;uepkpzeielvv;08/06/2007
-17.62;uepkpzeielvv;02/07/2006
41.66;uepkpzeielvv;27/08/2006
-36.73;uepkpzeielvv;09/06/2006
-35.92;uepkpzeielvv;19/01/2006
71.16;uepkpzeielvv;16/11/2006
120.23;uepkpzeielvv;10/07/2006
-65.89;uepkpzeielvv;15/01/2006
49.00;uepkpzeielvv;05/09/2007
-62.25;uepkpzeielvv;01/04/2006
50.58;uepkpzeielvv;13/02/2007
-64.87;uepkpzeielvv;15/12/2006
-31.24;uepkpzeielvv;07/01/2007
91.08;uepkpzeielvv;21/06/2008
118.06;uepkpzeielvv;30/12/2008
-105.33;uepkpzeielvv;14/03/2008
141.05;uepkpzeielvv;28/09/2007
104.07;uepkpzeielvv;02/02/2009
37.63;uepkpzeielvv;01/08/2007
51.75;uepkpzeielvv;24/09/2008
81.81;uepkpzeielvv;02/07/2007
115.23;uepkpzeielvv;25/07/2009
132.18;uepkpzeielvv;08/08/2007
-140.44;uepkpzeielvv;28/10/2008
57.53;uepkpzeielvv;29/09/2009
1.70;uepkpzeielvv;17/03/2009
1.11;uepkpzeielvv;17/01/2010
-57.75;uepkpzeielvv;07/06/2009
68.51;krivirv;06/02/2010
93.91;zriiulizpvirl;05/06/2005
-111.83;krivirv;03/10/2006
109.07;opbivpvirl;25/02/2005
85.66;uepkpzeielvv;17/01/2009
74.88;vrpvpik;14/05/2006
20.16;krivirv;28/07/2004
-43.40;krivirv;24/02/2006
28.92;pkiielvpvirl;01/07/2011
31.36;pkiielvpvirl;10/11/2011
64.51;opbivpvirl;25/07/2010
106.48;opbivpvirl;01/03/2010
-5.44;opbivpvirl;22/10/2007
-102.88;krivirv;20/02/2009
-28.20;zriiulizpvirl;04/03/2005
-12.93;opbivpvirl;03/02/2006
-10.62;opbivpvirl;04/01/2011
42.03;vrpvpik;18/08/2006
121.74;vrpvpik;09/03/2006
-45.28;vrpvpik;17/08/2005
-88.56;vrpvpik;12/02/2005
63.55;vrpvpik;28/04/2005
-79.17;vrpvpik;15/12/2006
34.71;vrpvpik;07/11/2005
-79.25;vrpvpik;31/01/2007
114.53;vrpvpik;14/01/2007
-81.29;vrpvpik;25/07/2005
-74.91;puiilivvrpvirl;17/06/2009
64.81;krivirv;06/11/2010
-124.12;krivirv;02/06/2003
111.43;uepkpzeielvv;23/02/2004
54.06;krivirv;20/08/2004
107.86;krivirv;29/11/2010
-84.59;krivirv;30/04/2007
-55.13;vrpvpik;12/08/2003
-32.55;opbivpvirl;27/11/2010
51.25;vrpvpik;23/09/2002
-40.27;vrpvpik;17/06/2004
-86.81;vrpvpik;10/02/2004
-58.26;vrpvpik;01/08/2003
-106.20;vrpvpik;07/08/2003
53.72;vrpvpik;30/06/2003
18.17;vrpvpik;23/09/2003
-41.98;vrpvpik;29/04/2003
45.02;vrpvpik;18/09/2002
17.05;opbivpvirl;14/03/2008
42.85;uepkpzeielvv;11/05/2002
68.58;uepkpzeielvv;15/05/2001
0.77;uepkpzeielvv;23/04/2002
37.69;uepkpzeielvv;10/06/2001
90.30;uepkpzeielvv;08/03/2001
88.83;uepkpzeielvv;13/06/2000
-42.30;uepkpzeielvv;09/07/2000
47.49;krivirv;28/01/2012
-104.74;opbivpvirl;12/01/2012
56.00;krivirv;18/04/2012
-71.34;zriiulizpvirl;07/07/2010
-66.22;krivirv;03/08/2003
-29.03;opbivpvirl;24/06/2009
29.52;zriiulizpvirl;18/12/2004
-71.90;krivirv;17/03/2004
20.30;zriiulizpvirl;10/09/2004
-43.50;vrpvpik;25/12/2000
-4.32;vrpvpik;13/12/2001
23.32;vrpvpik;27/03/2000
32.49;uepkpzeielvv;29/08/2005
40.91;krivirv;13/10/2004
-15.37;krivirv;18/08/2007
41.38;krivirv;23/05/2011
-0.45;krivirv;26/08/2009
88.18;pkiielvpvirl;25/10/2007
-18.57;pkiielvpvirl;19/01/2002
40.61;uepkpzeielvv;12/09/2002
-7.71;krivirv;04/09/2008
-89.86;pkiielvpvirl;15/06/2003
65.03;pkiielvpvirl;19/07/2005
44.77;opbivpvirl;11/11/2001
4.88;vrpvpik;26/04/2004
-97.41;vrpvpik;07/02/2005
7.13;vrpvpik;16/12/2004
20.21;vrpvpik;24/07/2003
35.43;vrpvpik;27/04/2003
-40.82;vrpvpik;28/09/2005
88.30;vrpvpik;29/06/2003
-59.67;vrpvpik;05/08/2003
-92.02;vrpvpik;14/02/2005
-8.34;uepkpzeielvv;12/08/2005
-5.70;pkiielvpvirl;03/01/2004
-84.38;pkiielvpvirl;13/05/2011
-32.64;opbivpvirl;01/03/2006
42.97;pkiielvpvirl;21/04/2011
33.92;krivirv;22/10/2009
93.00;opbivpvirl;31/07/2006
-11.79;uepkpzeielvv;05/04/2003
-17.34;krivirv;04/01/2010
-69.49;pkiielvpvirl;05/11/2010
37.82;pkiielvpvirl;30/08/2009
-53.49;vrpvpik;22/02/2001
77.58;vrpvpik;19/02/2001
-0.90;vrpvpik;14/04/2003
-17.08;vrpvpik;18/12/2001
14.30;vrpvpik;14/04/2002
30.96;vrpvpik;03/02/2003
-8.77;vrpvpik;13/05/2001
-2.32;vrpvpik;07/01/2003
-72.80;vrpvpik;14/05/2002
-9.43;vrpvpik;12/04/2003
15.91;vrpvpik;16/12/2001
45.02;pkiielvpvirl;06/04/2008
-16.20;krivirv;27/07/2008
81.42;pkiielvpvirl;14/02/2001
-18.80;krivirv;03/03/2011
28.87;vrpvpik;10/03/2009
35.17;uepkpzeielvv;01/11/2001
50.28;pkiielvpvirl;24/05/2008
-48.74;uepkpzeielvv;25/10/2008
51.07;krivirv;22/03/2010
-62.75;opbivpvirl;03/08/2011
-56.28;pkiielvpvirl;29/04/2009
-74.85;opbivpvirl;13/09/2004
80.27;vrpvpik;13/07/2004
13.99;pkiielvpvirl;16/11/2006
31.58;krivirv;25/03/2010
31.10;opbivpvirl;23/02/2011
-53.97;krivirv;20/07/2008
-24.46;krivirv;12/03/2008
-79.45;pkiielvpvirl;07/03/2002
-45.47;uepkpzeielvv;01/08/2009
24.14;opbivpvirl;05/06/2008
-41.19;uepkpzeielvv;13/10/2010
40.52;uepkpzeielvv;03/05/2009
15.03;uepkpzeielvv;21/02/2010
-70.44;uepkpzeielvv;23/08/2008
-70.93;uepkpzeielvv;13/09/2009
-63.15;krivirv;30/01/2010
-10.52;pkiielvpvirl;02/05/2003
2.60;pkiielvpvirl;21/07/2002
28.99;zriiulizpvirl;05/12/2008
-87.00;pkiielvpvirl;07/11/2007
12.31;opbivpvirl;16/08/2011
-23.06;opbivpvirl;25/10/2006
-9.55;zriiulizpvirl;25/02/2003
-74.39;pkiielvpvirl;11/04/2008
-58.11;opbivpvirl;06/11/2004
12.41;krivirv;17/11/2011
-16.22;krivirv;20/10/2010
-70.68;opbivpvirl;14/09/2007
-10.47;uepkpzeielvv;11/05/2009
44.50;krivirv;21/12/2007
11.59;zriiulizpvirl;20/09/2008
58.83;krivirv;16/01/2009
39.61;pkiielvpvirl;21/02/2007
62.56;pkiielvpvirl;14/08/2012
-22.36;opbivpvirl;08/06/2011
13.74;puiilivvrpvirl;26/02/2009
-12.58;uepkpzeielvv;03/09/2009
-57.84;krivirv;09/02/2004
81.21;krivirv;05/03/2002
21.17;zriiulizpvirl;21/02/2006
52.10;krivirv;27/02/2002
-27.27;krivirv;31/07/2009
-50.75;pkiielvpvirl;21/04/2008
-9.63;vrpvpik;05/08/2004
-55.44;krivirv;08/01/2011
-38.14;krivirv;10/03/2010
-15.05;krivirv;02/12/2011
-54.39;pkiielvpvirl;22/11/2004
-39.20;zriiulizpvirl;20/11/2012
-25.43;uepkpzeielvv;16/03/2004
-47.46;zriiulizpvirl;03/02/2008
-32.93;zriiulizpvirl;22/05/2008
-72.57;zriiulizpvirl;13/07/2010
-56.98;krivirv;21/08/2009
74.63;uepkpzeielvv;27/02/2009
41.62;pkiielvpvirl;23/11/2005
-70.24;krivirv;15/04/2002
-50.05;krivirv;20/04/2011
-24.31;krivirv;24/06/2008
6.80;zriiulizpvirl;19/08/2009
-33.52;krivirv;03/03/2002
4.03;pkiielvpvirl;12/11/2008
10.31;krivirv;15/03/2007
64.46;vrpvpik;29/12/2003
-64.22;pkiielvpvirl;12/02/2011
39.25;zriiulizpvirl;23/01/2008
18.95;krivirv;02/12/2001
-19.65;krivirv;15/06/2003
-23.04;zriiulizpvirl;19/08/2004
-13.94;opbivpvirl;27/03/2004
-62.58;opbivpvirl;21/04/2005
-5.56;opbivpvirl;25/04/2005
40.79;krivirv;13/06/2005
-54.42;krivirv;23/01/2011
7.87;krivirv;14/09/2011
10.18;krivirv;16/12/2006
-56.54;uepkpzeielvv;22/09/2008
-57.08;uepkpzeielvv;24/07/2006
14.40;uepkpzeielvv;26/02/2009
-39.68;pkiielvpvirl;01/11/2006
52.72;krivirv;09/08/2007
58.37;zriiulizpvirl;01/08/2009
-31.75;krivirv;01/05/2010
-45.18;krivirv;04/06/2008
71.08;puiilivvrpvirl;22/05/2011
9.98;pkiielvpvirl;12/08/2009
-33.43;opbivpvirl;30/05/2009
-54.26;krivirv;22/08/2003
-55.04;vplve;08/10/2003
29.72;uepkpzeielvv;25/09/2000
-1.00;opbivpvirl;26/06/2010
-58.78;zriiulizpvirl;25/05/2010
46.63;vrpvpik;19/11/2007
-2.19;vrpvpik;16/05/2010
-44.95;vrpvpik;21/03/2009
31.42;opbivpvirl;03/06/2006
-47.65;zriiulizpvirl;07/08/2002
-21.84;zriiulizpvirl;10/10/2009
-5.34;zriiulizpvirl;12/08/2008
61.16;zriiulizpvirl;26/04/2008
1.47;opbivpvirl;07/07/2010
67.15;vrpvpik;11/04/2000
22.99;pkiielvpvirl;10/04/2012
-29.66;pkiielvpvirl;27/07/2009
43.68;zriiulizpvirl;22/04/2010
0.95;pkiielvpvirl;29/05/2008
-22.89;zriiulizpvirl;08/04/2007
-34.31;pkiielvpvirl;26/04/2005
57.83;zriiulizpvirl;01/02/2008
27.26;pkiielvpvirl;06/04/2007
-62.55;uepkpzeielvv;16/04/2005
14.78;krivirv;23/01/2002
-49.63;vplve;12/07/2002
32.99;opbivpvirl;08/07/2005
-22.65;pkiielvpvirl;12/08/2001
61.25;opbivpvirl;31/12/2005
-25.58;zriiulizpvirl;01/09/2005
0.27;zriiulizpvirl;25/02/2010
-57.58;pkiielvpvirl;07/01/2010
-24.02;pkiielvpvirl;12/03/2009
-37.68;opbivpvirl;15/06/2006
6.04;opbivpvirl;23/06/2005
-6.92;krivirv;06/12/2010
46.89;zriiulizpvirl;22/09/2005
48.27;zriiulizpvirl;14/03/2009
-47.69;pkiielvpvirl;12/10/2008
-0.85;opbivpvirl;06/07/2009
59.52;krivirv;15/07/2011
-51.33;uepkpzeielvv;20/01/2010
-27.46;zriiulizpvirl;07/03/2004
52.54;pkiielvpvirl;12/04/2009
36.52;zriiulizpvirl;22/05/2008
6.00;krivirv;02/01/2008
-37.36;uepkpzeielvv;09/03/2010
-4.84;krivirv;20/01/2006
-56.80;krivirv;30/04/2009
37.31;pkiielvpvirl;06/04/2010
44.43;pkiielvpvirl;11/05/2008
-38.66;opbivpvirl;17/12/2004
17.27;pkiielvpvirl;21/02/2004
13.49;uepkpzeielvv;28/07/2009
58.57;uepkpzeielvv;25/01/2010
26.91;opbivpvirl;02/05/2008
-13.47;zriiulizpvirl;11/04/2003
-21.67;pkiielvpvirl;05/11/2006
-49.95;opbivpvirl;07/12/2001
43.60;uepkpzeielvv;29/04/2006
-41.50;krivirv;31/07/2007
-29.46;pkiielvpvirl;26/06/2008
-57.75;zriiulizpvirl;16/04/2009
56.68;krivirv;18/03/2011
-36.89;zriiulizpvirl;28/07/2004
31.79;pkiielvpvirl;25/07/2009
-47.04;vplve;01/02/2005
49.46;krivirv;03/01/2008
52.01;uepkpzeielvv;03/09/2008
41.29;krivirv;25/11/2007
55.01;krivirv;28/01/2010
17.36;krivirv;29/05/2009
26.49;krivirv;04/06/2010
54.24;krivirv;09/11/2005
-59.09;zriiulizpvirl;16/08/2006
-40.68;opbivpvirl;22/09/2005
40.50;krivirv;17/01/2007
-25.17;uepkpzeielvv;07/06/2008
58.95;uepkpzeielvv;01/10/2010
-2.02;uepkpzeielvv;29/10/2005
32.91;pkiielvpvirl;25/04/2004
-2.58;pkiielvpvirl;20/07/2011
-7.70;vplve;08/04/2007
-13.31;uepkpzeielvv;28/02/2009
-4.67;pkiielvpvirl;16/09/2006
-21.31;uepkpzeielvv;22/09/2010
-0.91;opbivpvirl;25/06/2012
-53.02;opbivpvirl;17/04/2010
-15.34;uepkpzeielvv;18/07/2010
52.91;uepkpzeielvv;23/04/2005
-27.82;krivirv;08/09/2009
34.59;krivirv;26/07/2011
33.24;opbivpvirl;24/01/2006
-48.18;zriiulizpvirl;17/06/2005
13.93;pkiielvpvirl;02/12/2008
1.70;vplve;16/04/2012
21.66;vplve;05/04/2012
41.18;krivirv;07/02/2005
-28.57;krivirv;16/08/2003
-40.68;uepkpzeielvv;16/09/2006
30.06;pkiielvpvirl;21/06/2010
-26.96;zriiulizpvirl;04/09/2010
-52.65;krivirv;27/10/2002
32.51;vplve;29/01/2006
6.86;krivirv;18/10/2010
-38.83;krivirv;24/12/2009
-48.67;krivirv;03/08/2009
44.47;krivirv;18/03/2010
-0.79;krivirv;13/05/2012
-45.12;krivirv;19/08/2011
-37.97;krivirv;30/09/2010
-43.38;krivirv;12/01/2012
16.38;krivirv;03/02/2012
15.83;krivirv;27/06/2010
22.73;pkiielvpvirl;03/01/2007
49.23;zriiulizpvirl;26/04/2008
-51.30;zriiulizpvirl;16/04/2004
-48.41;pkiielvpvirl;21/10/2011
50.55;opbivpvirl;09/07/2009
-50.77;krivirv;09/01/2004
52.70;opbivpvirl;07/10/2004
-50.03;opbivpvirl;15/11/2005
-28.64;opbivpvirl;19/05/2005
-37.86;opbivpvirl;18/04/2006
31.73;pkiielvpvirl;27/07/2004
47.77;zriiulizpvirl;26/02/2003
-31.27;pkiielvpvirl;03/11/2006
39.58;pkiielvpvirl;18/12/2010
-4.99;pkiielvpvirl;17/09/2010
22.01;pkiielvpvirl;22/11/2001
-24.85;uepkpzeielvv;05/07/2001
35.62;uepkpzeielvv;21/03/2002
-43.60;uepkpzeielvv;11/12/2001
3.71;uepkpzeielvv;23/01/2001
-40.10;uepkpzeielvv;21/05/2000
-30.42;uepkpzeielvv;10/06/2002
-0.47;uepkpzeielvv;04/11/2002
-43.52;uepkpzeielvv;10/12/2000
44.60;uepkpzeielvv;18/07/2001
18.64;uepkpzeielvv;17/05/2003
-26.92;zriiulizpvirl;07/10/2008
18.70;pkiielvpvirl;03/06/2005
31.41;krivirv;28/10/2010
-3.13;zriiulizpvirl;25/06/2004
27.58;zriiulizpvirl;29/12/2009
-4.34;zriiulizpvirl;28/09/2005
-17.33;pkiielvpvirl;30/09/2009
-19.08;krivirv;14/07/2010
12.81;krivirv;29/11/2008
49.17;krivirv;17/12/2009
16.43;krivirv;07/02/2010
-25.31;krivirv;02/06/2010
-26.02;krivirv;05/04/2010
37.08;krivirv;19/07/2010
-7.62;pkiielvpvirl;25/02/2009
44.90;krivirv;30/10/2008
28.65;krivirv;17/08/2009
-32.95;uepkpzeielvv;18/09/2011
36.07;zriiulizpvirl;11/05/2004
32.22;opbivpvirl;14/01/2008
-39.16;zriiulizpvirl;07/07/2007
11.83;zriiulizpvirl;06/01/2005
50.58;krivirv;08/04/2008
48.91;pkiielvpvirl;14/06/2002
-12.92;krivirv;05/08/2003
46.15;pkiielvpvirl;11/03/2006
-50.51;zriiulizpvirl;20/01/2003
31.01;zriiulizpvirl;28/10/2004
23.80;zriiulizpvirl;21/11/2001
-46.98;krivirv;23/03/2008
-37.36;uepkpzeielvv;28/10/2002
-18.54;uepkpzeielvv;31/07/2002
15.60;uepkpzeielvv;04/06/2003
-34.41;uepkpzeielvv;02/05/2003
49.24;uepkpzeielvv;30/01/2003
-17.19;uepkpzeielvv;09/12/2002
-37.74;uepkpzeielvv;19/11/2001
4.78;uepkpzeielvv;07/11/2001
18.46;uepkpzeielvv;19/08/2003
-46.16;uepkpzeielvv;31/05/2002
21.33;opbivpvirl;31/05/2004
19.69;krivirv;03/06/2002
-30.48;krivirv;10/02/2002
-33.48;opbivpvirl;06/12/2003
28.04;opbivpvirl;23/02/2004
20.84;krivirv;22/12/2004
31.80;uepkpzeielvv;25/11/2006
13.50;uepkpzeielvv;12/12/2005
-11.51;opbivpvirl;12/02/2007
42.95;krivirv;08/01/2006
-12.02;krivirv;28/09/2005
2.22;pkiielvpvirl;12/07/2006
48.32;krivirv;01/08/2008
37.85;krivirv;01/05/2008
43.09;krivirv;29/01/2009
-25.44;pkiielvpvirl;23/02/2008
45.13;krivirv;08/08/2008
11.55;krivirv;07/12/2009
16.96;uepkpzeielvv;13/03/2010
41.51;krivirv;14/05/2010
-4.67;krivirv;28/07/2011
-20.04;krivirv;08/11/2009
-13.54;krivirv;01/12/2011
-21.19;krivirv;21/04/2011
29.00;pkiielvpvirl;06/02/2012
-39.36;krivirv;21/08/2011
-10.46;krivirv;20/02/2011
-22.97;krivirv;24/06/2010
-19.49;krivirv;15/11/2003
49.72;krivirv;23/02/2008
-8.99;opbivpvirl;30/07/2007
-35.22;zriiulizpvirl;14/05/2005
-15.11;pkiielvpvirl;26/11/2009
-39.50;pkiielvpvirl;21/09/2009
-9.50;pkiielvpvirl;13/11/2008
-5.22;pkiielvpvirl;09/12/2008
-2.28;pkiielvpvirl;18/10/2009
-34.38;vrpvpik;24/02/2009
1.46;pkiielvpvirl;28/06/2008
-33.29;pkiielvpvirl;06/06/2008
34.62;pkiielvpvirl;02/06/2009
-43.74;pkiielvpvirl;09/03/2009
11.79;pkiielvpvirl;06/03/2009
-1.18;krivirv;04/06/2010
-38.57;krivirv;01/05/2006
14.80;uepkpzeielvv;22/03/2003
-29.94;krivirv;16/10/2007
48.72;pkiielvpvirl;13/11/2003
8.04;zriiulizpvirl;27/03/2002
-3.17;zriiulizpvirl;07/03/2007
-15.20;uepkpzeielvv;04/11/2003
35.29;uepkpzeielvv;27/08/2005
40.96;uepkpzeielvv;20/02/2004
-39.85;uepkpzeielvv;04/10/2003
28.81;uepkpzeielvv;14/03/2004
32.85;uepkpzeielvv;03/10/2005
-6.68;uepkpzeielvv;28/12/2003
7.25;uepkpzeielvv;15/07/2004
37.93;uepkpzeielvv;04/05/2004
-27.75;krivirv;20/01/2005
13.97;krivirv;31/08/2005
31.17;pkiielvpvirl;16/02/2011
-41.38;krivirv;26/03/2011
-25.85;zriiulizpvirl;13/05/2011
-35.69;krivirv;09/02/2006
2.11;pkiielvpvirl;21/04/2007
-4.11;zriiulizpvirl;12/06/2010
-2.51;krivirv;24/06/2009
-5.73;pkiielvpvirl;03/12/2009
-10.87;zriiulizpvirl;17/03/2003
-16.79;zriiulizpvirl;12/12/2002
-34.57;krivirv;01/01/2008
-17.66;pkiielvpvirl;17/06/2008
45.19;uepkpzeielvv;12/01/2004
-28.77;uepkpzeielvv;07/08/2003
-14.55;uepkpzeielvv;26/05/2003
-26.57;uepkpzeielvv;06/03/2002
31.17;uepkpzeielvv;06/11/2004
-5.42;uepkpzeielvv;12/05/2003
43.53;uepkpzeielvv;18/12/2002
-36.82;uepkpzeielvv;23/08/2004
25.37;uepkpzeielvv;27/05/2004
-33.11;uepkpzeielvv;22/05/2004
43.30;zriiulizpvirl;18/06/2006
-25.39;pkiielvpvirl;25/08/2009
38.63;uepkpzeielvv;21/07/2003
26.39;vrpvpik;14/02/2004
-10.86;krivirv;03/12/2004
16.37;opbivpvirl;21/06/2010
29.80;pkiielvpvirl;01/06/2006
44.55;krivirv;22/08/2001
